aX,aY,aZ,gX,gY,gZ
1.64,3.02,0.61,-0.92,0.27,-3.21
1.06,3.13,1.02,-1.00,0.36,-3.18
0.24,3.23,1.18,-1.06,0.28,-3.13
-0.54,3.28,1.30,-1.11,0.13,-3.09
-0.78,2.79,1.61,-1.15,-0.12,-3.14
-1.15,2.79,1.83,-1.20,-0.40,-3.37
-1.60,3.33,1.85,-1.25,-0.65,-3.52
-1.59,3.75,1.53,-1.30,-0.68,-3.59
-1.62,3.88,1.58,-1.35,-0.45,-3.68
-2.19,3.68,1.94,-1.37,-0.13,-3.79
-3.33,3.24,2.40,-1.34,0.26,-3.88
-4.73,2.58,3.09,-1.24,0.62,-3.91
-6.15,1.90,3.42,-1.08,0.91,-3.91
-7.66,1.49,3.56,-0.89,1.16,-3.88
-9.03,1.45,3.62,-0.69,1.34,-3.78
-10.10,1.75,3.56,-0.50,1.54,-3.64
-11.28,2.31,3.68,-0.33,1.65,-3.46
-12.35,2.77,3.53,-0.18,1.74,-3.21
-13.15,3.08,3.54,-0.03,1.82,-2.90
-13.71,3.32,3.69,0.11,1.84,-2.56
-14.58,3.46,3.72,0.25,1.86,-2.18
-15.95,3.55,3.58,0.37,1.88,-1.76
-17.47,3.70,3.25,0.46,1.82,-1.30
-18.39,3.88,2.76,0.52,1.64,-0.84
-19.18,4.21,1.99,0.53,1.42,-0.37
-19.61,4.47,1.43,0.51,1.26,0.21
-19.29,4.42,1.11,0.48,1.07,0.80
-18.77,4.29,0.89,0.45,0.88,1.32
-18.15,4.19,0.80,0.41,0.67,1.82
-17.27,4.17,0.70,0.38,0.43,2.28
-16.15,4.15,0.50,0.35,0.22,2.70
-14.95,4.04,0.26,0.30,0.08,3.09
-13.72,3.80,0.07,0.25,-0.05,3.44
-12.38,3.46,-0.12,0.19,-0.16,3.74
-11.01,2.99,-0.33,0.10,-0.28,4.00
-9.65,2.57,-0.42,0.00,-0.35,4.20
-8.41,2.33,-0.42,-0.10,-0.43,4.36
-7.24,2.10,-0.28,-0.18,-0.51,4.50
-6.11,1.79,-0.10,-0.23,-0.60,4.63
-5.04,1.41,0.03,-0.26,-0.68,4.71
-4.06,1.07,-0.02,-0.27,-0.76,4.72
-3.17,0.88,-0.19,-0.29,-0.79,4.70
-2.33,0.89,-0.23,-0.32,-0.79,4.66
-1.42,1.05,-0.18,-0.35,-0.76,4.62
-0.57,1.23,-0.10,-0.37,-0.68,4.59
0.17,1.30,0.22,-0.39,-0.56,4.58
0.82,1.24,0.85,-0.40,-0.48,4.59
aX,aY,aZ,gX,gY,gZ
-12.93,0.26,7.90,1.44,-0.13,3.20
-12.54,-0.19,7.47,1.56,-0.14,3.49
-11.84,-0.51,6.94,1.67,-0.21,3.80
-10.88,-0.67,6.41,1.77,-0.34,4.07
-9.84,-0.77,5.70,1.85,-0.49,4.29
-8.75,-0.79,4.75,1.91,-0.62,4.50
-7.55,-0.59,3.85,1.94,-0.75,4.68
-6.30,-0.29,3.09,1.94,-0.89,4.81
-5.02,0.00,2.37,1.92,-1.02,4.89
-3.77,0.23,1.70,1.89,-1.12,4.93
-2.54,0.34,1.09,1.84,-1.14,4.93
-1.33,0.36,0.59,1.79,-1.01,4.91
-0.40,0.42,0.33,1.72,-0.78,4.87
0.17,0.51,0.05,1.61,-0.57,4.83
0.48,0.57,-0.24,1.47,-0.31,4.81
0.61,0.50,-0.20,1.31,-0.10,4.80
0.77,0.28,-0.26,1.15,0.03,4.79
1.09,-0.01,-0.14,0.99,0.13,4.77
1.67,-0.25,-0.07,0.83,0.19,4.74
2.38,-0.35,-0.19,0.67,0.29,4.68
2.95,-0.28,-0.05,0.51,0.42,4.62
3.48,-0.15,0.52,0.36,0.47,4.57
4.23,-0.06,1.18,0.25,0.46,4.51
5.15,-0.04,1.70,0.15,0.45,4.42
5.99,-0.08,2.26,0.07,0.47,4.32
6.66,-0.10,3.15,0.03,0.38,4.22
7.77,-0.17,3.91,0.03,0.22,4.13
9.53,-0.24,4.43,0.07,0.09,3.99
12.03,-0.29,4.87,0.12,-0.01,3.75
14.79,-0.04,4.96,0.18,0.01,3.38
17.25,0.45,5.05,0.22,0.19,2.86
18.58,1.30,5.25,0.23,0.44,2.24
19.08,2.15,5.73,0.22,0.66,1.62
19.44,2.81,6.25,0.21,0.77,1.04
19.81,3.22,6.65,0.21,0.80,0.47
20.03,3.57,6.81,0.22,0.75,-0.10
19.91,4.03,6.64,0.23,0.68,-0.65
19.33,4.59,6.38,0.23,0.61,-1.14
18.32,5.09,6.01,0.22,0.52,-1.52
17.04,5.36,5.58,0.21,0.43,-1.80
15.79,5.37,5.24,0.19,0.32,-1.97
14.72,5.18,4.93,0.18,0.19,-2.07
13.74,4.88,4.78,0.17,0.04,-2.18
12.86,4.48,4.68,0.17,-0.14,-2.33
12.06,4.05,4.51,0.17,-0.32,-2.54
11.28,3.51,4.31,0.15,-0.49,-2.80
10.42,2.95,3.98,0.11,-0.67,-3.11
9.43,2.61,3.66,0.07,-0.86,-3.40
8.59,2.44,3.12,-0.01,-0.99,-3.64
7.95,2.39,2.75,-0.10,-1.05,-3.83
7.46,2.36,2.29,-0.21,-1.04,-4.02
6.81,2.26,1.92,-0.35,-0.94,-4.19
6.00,2.11,1.42,-0.50,-0.80,-4.32
5.09,1.94,0.91,-0.68,-0.60,-4.40
4.12,1.81,0.57,-0.87,-0.39,-4.43
3.21,1.78,0.27,-1.06,-0.17,-4.43
2.46,1.75,0.03,-1.27,0.07,-4.40
1.77,1.74,0.30,-1.45,0.28,-4.37
1.10,1.69,0.44,-1.59,0.35,-4.35
0.51,1.53,0.44,-1.71,0.40,-4.32
0.08,1.34,0.50,-1.83,0.45,-4.30
-0.27,1.11,0.62,-1.94,0.55,-4.30
-0.88,0.95,1.11,-2.05,0.66,-4.30
-1.88,0.86,1.68,-2.14,0.72,-4.27
-3.12,0.79,2.43,-2.20,0.73,-4.20
-4.26,0.58,3.16,-2.26,0.74,-4.11
-5.19,0.28,3.81,-2.32,0.87,-4.06
-6.21,0.12,4.39,-2.35,1.18,-3.95
-6.52,-0.09,5.06,-2.30,1.42,-3.80
-6.22,-0.71,5.65,-2.17,1.53,-3.86
-7.00,-0.61,6.12,-1.94,1.45,-4.07
-8.14,-0.20,6.06,-1.71,1.29,-4.12
-9.37,0.18,6.33,-1.50,1.13,-4.01
-10.69,0.44,6.88,-1.33,0.87,-3.85
-12.09,0.57,7.47,-1.15,0.69,-3.63
-13.51,0.61,8.36,-0.98,0.57,-3.35
-14.68,0.61,9.03,-0.82,0.48,-3.00
-15.41,0.80,9.22,-0.67,0.40,-2.60
-15.72,1.18,9.34,-0.55,0.24,-2.17
-15.57,1.47,9.33,-0.43,0.11,-1.73
-15.31,1.63,9.49,-0.29,0.08,-1.30
-15.39,1.67,9.73,-0.13,0.13,-0.89
-15.84,1.73,10.05,0.06,0.26,-0.49
-16.42,1.93,10.37,0.26,0.32,-0.09
-16.70,2.29,10.48,0.45,0.28,0.30
-16.46,2.72,10.37,0.63,0.20,0.68
-15.75,3.17,10.07,0.79,0.12,1.01
-14.80,3.59,9.66,0.93,0.09,1.28
-13.86,3.95,9.21,1.06,0.10,1.50
-13.08,4.18,8.83,1.18,0.20,1.65
-12.59,4.21,8.45,1.31,0.33,1.78
-12.39,4.08,7.88,1.41,0.46,1.89
-12.32,3.85,7.34,1.49,0.58,2.00
-12.16,3.45,6.79,1.56,0.70,2.12
-11.95,2.84,6.05,1.62,0.84,2.24
-11.83,2.13,5.15,1.65,1.10,2.36
-11.86,1.35,4.34,1.64,1.43,2.53
-12.05,0.36,3.83,1.60,1.78,2.73
-12.43,-0.82,3.66,1.53,2.02,2.96
-12.77,-2.06,3.67,1.45,1.99,3.24
-12.70,-3.10,3.59,1.36,1.64,3.57
-11.96,-3.85,3.32,1.29,1.07,3.95
-10.55,-4.24,2.69,1.22,0.43,4.35
-8.60,-4.20,2.11,1.17,-0.17,4.72
-6.26,-3.85,1.51,1.14,-0.70,5.01
-3.48,-3.35,0.54,1.14,-1.03,5.16
-1.15,-2.71,-0.35,1.15,-1.00,5.16
-0.10,-2.01,-0.89,1.10,-0.79,5.09
-0.20,-1.40,-1.40,0.98,-0.50,5.04
-0.87,-0.99,-1.53,0.79,-0.15,5.08
-1.07,-0.96,-1.22,0.56,0.11,5.19
-0.51,-1.16,-0.61,0.35,0.24,5.28
0.33,-1.40,0.30,0.18,0.23,5.32
1.39,-1.48,0.99,0.03,0.15,5.32
2.54,-1.35,1.32,-0.09,0.07,5.30
3.53,-1.11,1.29,-0.20,0.03,5.25
4.20,-0.91,1.42,-0.30,0.00,5.20
4.93,-0.93,1.82,-0.36,-0.10,5.19
6.17,-1.17,2.42,-0.38,-0.21,5.13
7.70,-1.44,3.28,-0.34,-0.34,5.01
9.35,-1.60,3.80,-0.26,-0.40,4.83
10.99,-1.56,4.12,-0.18,-0.38,4.62
12.63,-1.26,4.09,-0.10,-0.30,4.39
14.20,-0.69,4.18,-0.05,-0.14,4.12
15.75,-0.04,4.41,0.00,0.02,3.81
17.47,0.51,4.76,0.06,0.17,3.44
19.07,0.96,5.08,0.11,0.31,2.98
20.22,1.46,5.43,0.17,0.40,2.43
21.00,2.11,5.87,0.24,0.36,1.84
21.80,2.88,6.14,0.32,0.18,1.21
22.71,3.58,5.73,0.39,-0.03,0.55
23.29,4.12,4.99,0.39,-0.19,-0.16
23.43,4.53,4.35,0.34,-0.31,-0.88
23.21,4.88,3.65,0.25,-0.39,-1.58
22.61,5.10,2.95,0.12,-0.35,-2.25
21.52,5.02,2.70,-0.05,-0.20,-2.87
19.86,4.57,3.03,-0.21,-0.04,-3.42
17.58,3.82,4.08,-0.32,-0.01,-3.90
15.12,3.17,4.00,-0.35,-0.24,-4.28
12.85,2.81,3.59,-0.41,-0.46,-4.55
10.95,2.72,3.04,-0.49,-0.66,-4.72
9.37,2.77,2.58,-0.58,-0.85,-4.81
8.06,2.81,2.11,-0.67,-1.00,-4.84
6.92,2.70,1.64,-0.79,-1.09,-4.82
5.83,2.55,1.30,-0.94,-1.11,-4.76
4.81,2.43,1.04,-1.10,-1.08,-4.63
3.81,2.40,1.02,-1.27,-1.01,-4.46
2.91,2.44,1.08,-1.44,-0.91,-4.25
2.22,2.42,1.11,-1.61,-0.80,-4.02
1.79,2.21,1.19,-1.76,-0.67,-3.80
1.47,1.81,1.23,-1.89,-0.53,-3.63
1.07,1.29,1.32,-2.00,-0.41,-3.55
0.49,0.45,1.55,-2.07,-0.34,-3.51
0.64,-1.15,1.75,-2.18,-0.34,-3.92
-1.15,-0.82,1.84,-2.27,-0.38,-4.44
-2.32,0.32,1.55,-2.39,-0.37,-4.51
-2.41,0.69,1.59,-2.50,-0.28,-4.30
-2.21,0.10,2.15,-2.56,-0.24,-4.11
-2.68,-0.78,2.96,-2.54,-0.32,-4.03
-3.81,-1.46,3.83,-2.51,-0.48,-3.97
-4.79,-1.81,4.69,-2.46,-0.72,-3.87
-5.29,-1.65,5.31,-2.43,-1.00,-3.76
-5.36,-1.08,5.34,-2.44,-1.16,-3.65
-5.28,-0.40,5.39,-2.46,-1.10,-3.51
-5.32,0.08,5.64,-2.44,-0.90,-3.33
-5.46,0.13,6.31,-2.41,-0.60,-3.14
-5.65,-0.22,7.25,-2.34,-0.26,-3.01
-6.45,-0.59,8.32,-2.23,0.10,-2.94
-7.57,-0.74,9.44,-2.07,0.40,-2.81
-8.63,-0.66,10.07,-1.88,0.64,-2.62
-9.53,-0.23,10.61,-1.68,0.80,-2.40
-10.33,0.37,11.14,-1.46,0.85,-2.18
-11.24,0.82,11.83,-1.22,0.88,-1.92
-12.17,1.03,12.57,-0.98,0.89,-1.63
-13.06,1.19,13.19,-0.75,0.89,-1.33
-13.82,1.56,13.77,-0.52,0.87,-1.02
-14.36,1.99,14.09,-0.28,0.82,-0.67
-14.51,2.32,14.17,-0.04,0.79,-0.29
-14.35,2.50,14.08,0.19,0.77,0.08
-14.13,2.59,13.78,0.42,0.76,0.43
-13.95,2.61,13.38,0.64,0.76,0.78
-13.73,2.51,12.95,0.86,0.76,1.13
-13.42,2.25,12.47,1.06,0.77,1.47
-13.09,1.87,11.85,1.26,0.79,1.80
-12.76,1.47,11.16,1.45,0.80,2.12
-12.37,1.10,10.29,1.62,0.80,2.42
-11.96,0.80,9.37,1.76,0.78,2.71
-11.54,0.56,8.48,1.87,0.73,2.99
-11.03,0.37,7.49,1.94,0.65,3.27
-10.36,0.06,6.55,1.98,0.55,3.55
-9.46,-0.15,5.83,1.99,0.41,3.81
-8.45,-0.18,5.10,2.00,0.25,4.01
-7.41,-0.07,4.39,1.98,0.07,4.17
-6.33,0.10,3.71,1.96,-0.07,4.29
-5.26,0.31,2.99,1.92,-0.15,4.37
-4.26,0.50,2.34,1.86,-0.15,4.42
-3.45,0.68,1.89,1.79,-0.09,4.44
-2.85,0.81,1.52,1.72,-0.02,4.46
-2.38,0.89,1.27,1.62,0.02,4.48
-1.93,0.95,1.07,1.51,0.02,4.50
-1.38,0.97,1.04,1.39,0.01,4.52
-0.83,0.91,1.03,1.29,0.01,4.54
-0.41,0.78,0.97,1.20,0.06,4.54
-0.16,0.70,0.92,1.10,0.14,4.54
0.11,0.71,0.82,0.98,0.22,4.56
0.47,0.74,1.15,0.86,0.30,4.59
1.01,0.71,1.43,0.76,0.34,4.63
1.69,0.59,1.63,0.66,0.38,4.66
2.38,0.48,1.75,0.56,0.45,4.70
3.01,0.40,1.73,0.46,0.53,4.73
3.59,0.40,2.04,0.36,0.63,4.76
4.29,0.39,2.74,0.27,0.63,4.81
5.22,0.29,3.35,0.22,0.56,4.82
6.40,0.14,4.08,0.19,0.46,4.82
8.08,-0.11,4.82,0.22,0.32,4.77
10.50,-0.29,5.17,0.28,0.21,4.64
13.41,-0.25,5.28,0.34,0.26,4.36
15.97,0.15,5.26,0.39,0.42,3.94
17.63,0.78,5.06,0.40,0.66,3.42
18.53,1.48,4.85,0.34,0.91,2.82
18.98,2.13,4.94,0.25,1.05,2.18
19.26,2.66,5.22,0.17,1.06,1.52
19.37,3.06,5.72,0.10,0.97,0.86
19.25,3.36,6.23,0.08,0.80,0.22
18.78,3.67,6.58,0.08,0.59,-0.38
17.95,4.02,6.56,0.09,0.38,-0.88
16.92,4.44,6.16,0.07,0.23,-1.25
15.94,4.90,5.53,0.02,0.15,-1.46
15.22,5.22,5.03,-0.06,0.13,-1.55
14.78,5.24,4.75,-0.12,0.13,-1.58
14.33,4.94,4.63,-0.18,0.14,-1.61
13.82,4.31,4.70,-0.19,0.12,-1.73
12.99,3.64,4.67,-0.20,0.05,-1.95
11.86,3.13,4.87,-0.19,-0.10,-2.20
10.86,2.75,5.02,-0.17,-0.33,-2.43
