aX,aY,aZ,gX,gY,gZ
1.75,7.58,4.87,0.22,0.18,0.09
1.74,7.58,4.78,0.21,0.18,0.07
1.68,7.58,4.71,0.19,0.17,0.04
1.62,7.57,4.66,0.17,0.16,0.03
1.61,7.55,4.64,0.15,0.16,0.02
1.63,7.53,4.62,0.14,0.15,0.00
1.60,7.54,4.58,0.12,0.16,-0.01
1.53,7.58,4.55,0.11,0.15,-0.03
1.45,7.63,4.55,0.08,0.13,-0.03
1.39,7.67,4.62,0.05,0.10,-0.03
1.40,7.68,4.69,0.03,0.08,-0.02
1.45,7.68,4.73,0.01,0.07,-0.02
1.48,7.66,4.76,-0.00,0.06,-0.03
1.51,7.64,4.83,-0.01,0.07,-0.03
1.48,7.67,4.91,-0.01,0.07,-0.04
1.41,7.72,4.98,-0.01,0.07,-0.05
1.34,7.76,5.02,-0.01,0.06,-0.05
1.34,7.76,5.05,-0.01,0.04,-0.04
1.41,7.72,5.09,-0.01,0.03,-0.04
1.49,7.65,5.13,0.00,0.03,-0.05
1.54,7.58,5.16,0.02,0.04,-0.06
1.53,7.52,5.20,0.04,0.05,-0.08
1.48,7.48,5.25,0.07,0.07,-0.10
1.44,7.48,5.29,0.11,0.09,-0.11
1.37,7.52,5.28,0.15,0.11,-0.12
1.26,7.61,5.17,0.18,0.12,-0.13
1.15,7.71,5.03,0.19,0.13,-0.13
1.08,7.78,4.89,0.19,0.12,-0.11
1.06,7.80,4.79,0.18,0.11,-0.10
1.05,7.81,4.70,0.16,0.11,-0.08
1.04,7.86,4.62,0.14,0.11,-0.07
1.02,7.90,4.53,0.11,0.11,-0.05
0.97,7.93,4.50,0.08,0.10,-0.03
0.92,7.93,4.49,0.05,0.09,-0.01
0.91,7.90,4.56,0.01,0.07,0.01
0.95,7.86,4.63,-0.02,0.05,0.03
0.97,7.84,4.69,-0.04,0.04,0.04
0.99,7.83,4.72,-0.05,0.03,0.05
1.01,7.78,4.76,-0.06,0.02,0.06
1.05,7.73,4.81,-0.07,0.02,0.07
1.13,7.67,4.87,-0.07,0.01,0.07
1.22,7.64,4.86,-0.06,0.02,0.06
1.26,7.64,4.81,-0.06,0.02,0.05
1.26,7.64,4.74,-0.05,0.03,0.03
1.23,7.65,4.66,-0.05,0.04,0.03
1.23,7.64,4.64,-0.06,0.05,0.03
1.23,7.62,4.64,-0.07,0.05,0.02
1.19,7.60,4.61,-0.08,0.06,0.02
1.10,7.60,4.58,-0.09,0.06,0.02
1.03,7.61,4.55,-0.10,0.07,0.04
1.01,7.63,4.54,-0.13,0.06,0.05
1.03,7.64,4.58,-0.15,0.06,0.07
1.07,7.65,4.64,-0.16,0.05,0.08
1.13,7.65,4.71,-0.18,0.04,0.10
1.17,7.65,4.81,-0.18,0.03,0.10
1.20,7.67,4.91,-0.18,0.03,0.11
1.27,7.69,4.96,-0.17,0.04,0.11
1.38,7.71,5.01,-0.16,0.04,0.12
1.45,7.72,5.06,-0.15,0.05,0.12
1.50,7.71,5.13,-0.14,0.06,0.11
1.52,7.69,5.17,-0.12,0.08,0.11
1.51,7.68,5.20,-0.10,0.09,0.10
1.50,7.70,5.22,-0.09,0.10,0.10
1.46,7.71,5.21,-0.07,0.11,0.10
1.40,7.74,5.19,-0.07,0.10,0.11
1.35,7.75,5.15,-0.06,0.10,0.13
1.38,7.72,5.10,-0.06,0.10,0.15
1.46,7.67,5.05,-0.06,0.10,0.17
1.52,7.62,5.00,-0.06,0.10,0.17
1.54,7.59,4.96,-0.06,0.11,0.17
1.53,7.56,4.97,-0.07,0.11,0.16
1.52,7.53,5.00,-0.07,0.12,0.15
1.52,7.49,5.08,-0.07,0.14,0.13
1.51,7.47,5.17,-0.06,0.15,0.11
1.47,7.51,5.26,-0.05,0.17,0.09
aX,aY,aZ,gX,gY,gZ
-6.37,9.73,-1.18,1.63,1.23,1.39
-6.13,9.01,-1.49,1.38,1.25,1.78
-5.66,8.22,-1.75,1.14,1.33,2.16
-5.10,7.35,-1.78,0.91,1.46,2.54
-4.53,6.43,-1.74,0.70,1.61,2.90
-3.99,5.47,-1.63,0.48,1.76,3.24
-3.47,4.50,-1.57,0.26,1.87,3.55
-3.00,3.50,-1.58,0.00,1.92,3.82
-2.62,2.56,-1.58,-0.29,1.88,4.05
-2.17,1.72,-1.48,-0.63,1.77,4.24
-1.53,0.95,-1.26,-0.98,1.59,4.40
-0.69,0.22,-0.86,-1.31,1.41,4.50
0.11,-0.40,-0.08,-1.58,1.23,4.54
0.76,-0.87,0.88,-1.79,1.06,4.57
1.52,-1.37,2.04,-1.94,0.86,4.61
2.65,-2.02,3.25,-2.05,0.63,4.65
4.34,-2.81,4.33,-2.11,0.45,4.66
6.51,-3.57,4.93,-2.04,0.40,4.58
8.56,-3.94,5.13,-1.88,0.52,4.38
10.17,-4.15,5.41,-1.67,0.69,4.11
11.18,-4.18,6.14,-1.45,0.81,3.78
11.80,-3.93,7.29,-1.24,0.84,3.48
12.55,-3.59,8.67,-1.02,0.80,3.26
13.73,-3.50,9.79,-0.78,0.69,3.07
15.16,-3.64,10.55,-0.55,0.54,2.84
16.69,-3.87,10.89,-0.32,0.37,2.56
18.17,-4.00,10.86,-0.08,0.30,2.22
18.90,-3.97,10.89,0.19,0.31,1.79
18.55,-3.78,10.70,0.46,0.24,1.33
18.04,-3.72,10.24,0.64,0.07,0.96
18.21,-3.96,9.77,0.71,-0.16,0.63
18.56,-4.29,9.33,0.78,-0.37,0.22
18.38,-4.51,8.72,0.89,-0.50,-0.28
17.50,-4.54,7.99,0.99,-0.61,-0.78
16.31,-4.44,7.22,1.05,-0.72,-1.25
15.03,-4.24,6.55,1.05,-0.86,-1.68
13.79,-4.02,5.86,1.02,-1.03,-2.07
12.59,-3.77,5.15,0.96,-1.21,-2.42
11.47,-3.47,4.56,0.86,-1.38,-2.72
10.50,-3.04,4.05,0.75,-1.54,-2.97
9.70,-2.43,3.56,0.65,-1.65,-3.16
9.19,-1.86,3.19,0.55,-1.75,-3.30
8.92,-1.45,2.97,0.44,-1.84,-3.44
8.77,-1.21,2.77,0.34,-1.91,-3.60
8.56,-1.02,2.58,0.25,-1.93,-3.77
8.25,-0.72,2.38,0.17,-1.91,-3.95
7.85,-0.37,2.28,0.10,-1.87,-4.11
7.33,-0.06,2.17,0.04,-1.83,-4.28
6.80,0.17,1.85,-0.04,-1.78,-4.44
6.24,0.42,1.45,-0.18,-1.73,-4.60
5.49,0.71,1.26,-0.35,-1.70,-4.76
4.62,1.07,1.16,-0.51,-1.68,-4.89
3.79,1.51,0.96,-0.64,-1.63,-4.97
2.98,1.99,0.93,-0.76,-1.55,-4.98
2.30,2.38,0.90,-0.84,-1.43,-4.94
1.63,2.71,0.93,-0.88,-1.25,-4.88
0.83,3.03,1.15,-0.88,-1.05,-4.82
-0.12,3.35,1.34,-0.84,-0.91,-4.77
-1.17,3.62,1.48,-0.81,-0.81,-4.72
-2.26,3.89,1.64,-0.78,-0.75,-4.67
-3.38,4.22,1.80,-0.75,-0.67,-4.60
-4.51,4.62,1.77,-0.68,-0.61,-4.53
-5.68,5.06,1.45,-0.58,-0.51,-4.44
-6.64,5.52,1.02,-0.47,-0.41,-4.33
-7.49,6.05,0.32,-0.34,-0.22,-4.20
-8.40,6.72,-0.31,-0.22,-0.03,-4.01
-9.16,7.33,-0.90,-0.20,0.12,-3.72
-9.67,7.78,-1.12,-0.27,0.27,-3.36
-10.11,8.11,-0.55,-0.35,0.36,-2.94
-10.38,8.28,-0.34,-0.35,0.45,-2.53
-10.66,8.47,-0.24,-0.31,0.57,-2.15
-10.72,8.74,-0.18,-0.28,0.69,-1.78
-10.59,9.08,0.07,-0.29,0.75,-1.42
-10.28,9.49,0.15,-0.37,0.75,-1.06
-9.68,9.74,0.18,-0.50,0.78,-0.72
-8.98,9.80,0.59,-0.62,0.81,-0.42
-8.42,9.74,1.32,-0.67,0.76,-0.19
-8.07,9.68,1.66,-0.58,0.58,-0.03
-7.93,9.86,1.62,-0.45,0.37,0.06
-7.85,10.29,1.32,-0.39,0.15,0.11
-7.76,10.75,1.15,-0.43,-0.08,0.15
-7.54,10.99,1.07,-0.52,-0.31,0.19
-7.13,11.01,1.01,-0.63,-0.49,0.24
-6.51,10.89,1.06,-0.71,-0.57,0.29
-5.79,10.64,1.20,-0.72,-0.55,0.33
-5.20,10.35,1.41,-0.64,-0.43,0.33
-5.02,10.16,1.69,-0.49,-0.27,0.29
-5.32,10.12,1.92,-0.28,-0.10,0.23
-5.93,10.22,2.07,-0.07,0.01,0.19
-6.66,10.38,2.05,0.11,0.05,0.20
-7.34,10.56,1.98,0.22,0.03,0.26
-7.87,10.67,1.93,0.30,-0.01,0.36
-8.28,10.67,1.86,0.36,-0.04,0.47
-8.61,10.63,1.76,0.42,-0.07,0.61
-8.86,10.64,1.55,0.49,-0.08,0.76
-8.99,10.71,1.16,0.55,-0.07,0.94
-9.01,10.79,0.89,0.56,-0.06,1.14
-8.91,10.75,0.74,0.55,-0.06,1.37
-8.76,10.59,0.68,0.54,-0.03,1.60
-8.56,10.37,0.61,0.55,-0.01,1.81
-8.26,10.21,0.48,0.56,0.01,2.02
-7.81,10.02,0.27,0.55,0.04,2.22
-7.24,9.73,0.20,0.51,0.05,2.42
-6.56,9.35,0.08,0.47,0.05,2.58
-5.89,8.96,0.02,0.44,0.08,2.72
-5.27,8.60,0.04,0.43,0.11,2.84
-4.68,8.26,-0.06,0.43,0.15,2.94
-4.12,7.93,-0.01,0.42,0.18,3.04
-3.47,7.54,-0.14,0.40,0.20,3.14
-2.74,7.13,-0.26,0.36,0.26,3.22
-2.11,6.75,-0.27,0.31,0.34,3.31
-1.93,6.50,-0.43,0.24,0.47,3.53
-1.44,5.87,-0.18,0.17,0.62,3.77
-0.84,5.27,-0.05,0.10,0.70,3.90
-0.15,4.68,0.12,0.00,0.75,3.98
0.54,4.10,0.37,-0.07,0.82,4.01
1.14,3.55,0.48,-0.11,0.90,4.00
1.59,3.05,0.56,-0.14,0.97,3.97
1.96,2.62,0.67,-0.21,0.99,3.93
2.43,2.16,0.84,-0.30,0.97,3.90
3.05,1.66,1.02,-0.40,0.96,3.87
3.74,1.18,1.23,-0.47,0.98,3.81
4.38,0.84,1.41,-0.52,1.03,3.71
4.74,0.73,1.75,-0.56,1.06,3.59
4.87,0.71,2.26,-0.61,1.04,3.48
5.05,0.65,2.81,-0.66,0.96,3.42
5.54,0.47,3.39,-0.72,0.86,3.42
6.48,0.17,4.02,-0.73,0.75,3.44
7.82,-0.26,4.56,-0.72,0.64,3.44
9.36,-0.75,5.09,-0.68,0.55,3.37
10.88,-1.18,5.61,-0.59,0.50,3.22
12.23,-1.40,6.00,-0.46,0.48,2.99
13.36,-1.35,6.11,-0.30,0.50,2.71
14.27,-1.18,6.09,-0.16,0.53,2.40
15.00,-1.01,6.00,-0.03,0.56,2.07
15.53,-0.82,5.87,0.07,0.58,1.72
15.78,-0.61,5.76,0.17,0.60,1.37
15.69,-0.32,5.57,0.25,0.60,1.02
15.30,-0.01,5.29,0.30,0.59,0.70
14.75,0.23,5.09,0.32,0.55,0.41
14.03,0.36,5.04,0.31,0.43,0.13
13.30,0.44,4.94,0.26,0.26,-0.12
12.84,0.50,4.92,0.18,0.05,-0.33
12.82,0.61,4.83,0.12,-0.14,-0.53
12.98,0.73,4.66,0.07,-0.26,-0.75
12.99,0.85,4.47,0.04,-0.33,-1.00
12.75,0.95,4.35,0.03,-0.33,-1.23
12.34,1.12,4.25,0.04,-0.34,-1.44
11.84,1.36,4.24,0.03,-0.40,-1.63
11.31,1.64,4.22,0.00,-0.53,-1.80
10.81,1.88,4.16,-0.04,-0.71,-1.96
10.49,2.04,4.03,-0.08,-0.88,-2.09
10.31,2.20,3.84,-0.11,-1.04,-2.22
10.14,2.39,3.54,-0.13,-1.12,-2.36
9.87,2.58,3.19,-0.14,-1.13,-2.51
9.44,2.69,2.84,-0.13,-1.08,-2.65
8.87,2.77,2.54,-0.12,-0.99,-2.79
8.19,2.87,2.34,-0.12,-0.88,-2.91
7.42,3.04,2.30,-0.11,-0.80,-3.00
6.58,3.31,2.32,-0.11,-0.78,-3.07
5.78,3.65,2.40,-0.14,-0.84,-3.11
5.15,3.98,2.45,-0.17,-0.92,-3.11
4.71,4.24,2.44,-0.21,-1.02,-3.10
4.47,4.47,2.23,-0.24,-1.09,-3.10
4.41,4.72,2.03,-0.27,-1.08,-3.10
4.47,4.99,1.85,-0.27,-0.99,-3.13
4.45,5.21,1.75,-0.23,-0.82,-3.19
4.14,5.38,1.63,-0.17,-0.65,-3.28
3.49,5.58,1.56,-0.11,-0.52,-3.36
2.67,5.78,1.45,-0.08,-0.45,-3.41
1.77,6.02,1.31,-0.06,-0.44,-3.44
0.90,6.38,1.23,-0.08,-0.46,-3.41
0.16,6.81,1.17,-0.10,-0.49,-3.32
-0.43,7.25,1.02,-0.12,-0.50,-3.20
-0.94,7.58,0.90,-0.14,-0.49,-3.07
-1.38,7.75,0.78,-0.16,-0.46,-2.94
-1.81,7.86,0.67,-0.20,-0.42,-2.81
-2.15,8.01,0.64,-0.23,-0.39,-2.65
-2.31,8.22,0.58,-0.24,-0.35,-2.48
-2.30,8.42,0.47,-0.25,-0.29,-2.33
-2.35,8.54,0.60,-0.25,-0.24,-2.20
-2.56,8.62,0.65,-0.23,-0.18,-2.12
-2.95,8.77,0.65,-0.21,-0.11,-2.07
-3.40,9.04,0.59,-0.18,-0.05,-1.99
-3.75,9.37,0.42,-0.17,0.02,-1.89
-3.93,9.67,0.18,-0.18,0.06,-1.75
-3.97,9.90,-0.03,-0.22,0.11,-1.60
-3.96,10.07,0.00,-0.27,0.18,-1.47
-4.09,10.18,0.32,-0.29,0.24,-1.35
-4.36,10.26,0.55,-0.28,0.29,-1.26
-4.73,10.39,0.72,-0.26,0.31,-1.15
-5.07,10.53,0.82,-0.26,0.30,-1.02
-5.28,10.64,0.85,-0.28,0.26,-0.87
-5.30,10.70,0.91,-0.34,0.21,-0.71
-5.12,10.69,0.98,-0.41,0.19,-0.54
-4.80,10.65,1.13,-0.46,0.21,-0.39
-4.50,10.58,1.34,-0.46,0.26,-0.26
-4.35,10.50,1.58,-0.42,0.29,-0.17
-4.34,10.46,1.70,-0.36,0.28,-0.11
-4.44,10.50,1.76,-0.33,0.23,-0.06
aX,aY,aZ,gX,gY,gZ
11.71,0.52,4.62,0.25,-0.20,-1.30
11.42,0.56,4.58,0.26,-0.22,-1.48
11.10,0.59,4.58,0.29,-0.24,-1.65
10.66,0.70,4.48,0.33,-0.27,-1.82
10.05,0.93,4.26,0.36,-0.32,-1.98
9.38,1.20,4.05,0.36,-0.40,-2.10
8.83,1.45,3.86,0.35,-0.48,-2.17
8.58,1.59,3.72,0.33,-0.53,-2.22
8.55,1.71,3.68,0.32,-0.51,-2.26
8.56,1.92,3.67,0.34,-0.43,-2.32
8.42,2.19,3.68,0.39,-0.32,-2.39
8.06,2.44,3.75,0.43,-0.26,-2.47
7.63,2.65,3.83,0.46,-0.26,-2.54
7.25,2.86,3.96,0.48,-0.31,-2.60
6.91,3.12,3.98,0.50,-0.40,-2.66
6.61,3.41,3.88,0.53,-0.51,-2.73
6.40,3.66,3.66,0.55,-0.63,-2.80
6.28,3.80,3.44,0.55,-0.73,-2.88
6.34,3.83,3.28,0.56,-0.78,-2.97
6.52,3.84,3.15,0.61,-0.74,-3.09
6.55,3.86,3.09,0.70,-0.63,-3.24
6.28,3.88,2.82,0.79,-0.54,-3.43
5.52,4.01,2.45,0.86,-0.52,-3.66
4.42,4.26,2.06,0.90,-0.51,-3.85
3.24,4.62,1.74,0.93,-0.50,-3.93
2.16,5.00,1.50,0.93,-0.53,-3.91
1.31,5.35,1.20,0.93,-0.60,-3.83
0.62,5.67,0.69,0.91,-0.64,-3.74
0.10,5.97,0.09,0.88,-0.65,-3.66
-0.24,6.23,-0.52,0.82,-0.57,-3.58
-0.49,6.39,-0.74,0.78,-0.42,-3.50
-0.73,6.47,-0.95,0.76,-0.31,-3.44
-1.16,6.55,-1.11,0.75,-0.22,-3.40
-1.87,6.68,-1.22,0.73,-0.18,-3.37
-2.76,6.85,-1.45,0.72,-0.19,-3.34
-3.66,7.10,-1.68,0.70,-0.22,-3.29
-4.29,7.37,-1.69,0.71,-0.25,-3.20
-4.69,7.70,-2.07,0.71,-0.23,-3.10
-5.06,8.01,-2.42,0.67,-0.18,-2.98
-5.77,8.29,-2.66,0.57,-0.15,-2.85
-6.54,8.49,-2.90,0.45,-0.13,-2.67
-7.02,8.67,-3.13,0.30,-0.13,-2.47
-7.25,8.88,-3.15,0.15,-0.14,-2.25
-7.44,9.07,-3.18,0.03,-0.11,-2.05
-7.66,9.22,-3.12,-0.08,-0.08,-1.85
-7.83,9.38,-2.92,-0.18,-0.05,-1.65
-7.94,9.56,-2.62,-0.27,-0.05,-1.45
-8.08,9.72,-2.27,-0.39,-0.09,-1.26
-8.22,9.85,-1.98,-0.50,-0.19,-1.08
-8.29,10.03,-1.68,-0.60,-0.30,-0.91
-8.39,10.28,-1.36,-0.66,-0.37,-0.73
-8.33,10.40,-1.15,-0.69,-0.39,-0.52
-8.06,10.40,-0.96,-0.68,-0.37,-0.34
-7.76,10.35,-0.81,-0.64,-0.32,-0.19
-7.60,10.33,-0.63,-0.57,-0.27,-0.10
-7.59,10.35,-0.48,-0.50,-0.23,-0.04
-7.67,10.46,-0.39,-0.43,-0.19,0.00
-7.75,10.60,-0.29,-0.37,-0.17,0.07
-7.78,10.66,-0.23,-0.32,-0.15,0.16
-7.71,10.66,-0.18,-0.28,-0.13,0.27
-7.54,10.62,-0.09,-0.24,-0.10,0.39
-7.29,10.53,0.01,-0.19,-0.06,0.50
-7.00,10.42,-0.01,-0.14,-0.00,0.60
-6.74,10.33,-0.01,-0.10,0.06,0.68
-6.55,10.28,-0.06,-0.06,0.12,0.76
-6.46,10.20,-0.06,-0.04,0.17,0.83
-6.49,10.11,0.03,-0.01,0.20,0.91
-6.57,9.99,0.10,0.02,0.19,0.99
-6.58,9.87,0.06,0.03,0.15,1.08
-6.46,9.81,0.04,0.02,0.10,1.18
-6.20,9.72,0.03,0.00,0.06,1.29
-5.86,9.58,0.06,-0.01,0.04,1.38
-5.55,9.41,0.06,-0.00,0.04,1.44
-5.28,9.26,0.06,0.01,0.07,1.49
-5.02,9.17,0.08,0.03,0.11,1.54
-4.74,9.12,0.07,0.05,0.14,1.60
-4.43,9.07,-0.00,0.08,0.18,1.66
-4.15,9.00,-0.09,0.10,0.23,1.71
-3.93,8.91,-0.16,0.11,0.27,1.76
-3.80,8.81,-0.20,0.12,0.31,1.80
-3.74,8.75,-0.24,0.13,0.34,1.85
-3.69,8.67,-0.26,0.12,0.36,1.90
-3.60,8.57,-0.19,0.09,0.35,1.98
-3.34,8.43,-0.14,0.04,0.33,2.07
-2.95,8.23,-0.10,-0.00,0.32,2.16
-2.50,8.01,-0.08,-0.04,0.34,2.25
-2.07,7.77,-0.05,-0.05,0.39,2.32
-1.72,7.53,0.03,-0.06,0.44,2.36
-1.39,7.30,0.14,-0.08,0.48,2.38
-1.00,7.05,0.28,-0.12,0.49,2.41
-0.54,6.80,0.28,-0.15,0.53,2.46
-0.12,6.57,0.16,-0.17,0.62,2.54
0.30,6.38,-0.00,-0.18,0.74,2.58
0.49,6.37,-0.06,-0.19,0.84,2.57
0.49,6.44,-0.08,-0.24,0.89,2.56
0.48,6.45,0.04,-0.31,0.92,2.60
0.55,6.39,0.21,-0.37,0.93,2.66
0.75,6.27,0.45,-0.45,0.91,2.75
1.15,6.05,0.84,-0.54,0.86,2.86
1.71,5.76,1.24,-0.61,0.83,2.96
2.31,5.42,1.60,-0.65,0.82,3.03
2.77,5.20,1.78,-0.65,0.85,3.07
2.96,5.10,1.89,-0.65,0.89,3.11
3.01,4.97,1.98,-0.68,0.88,3.18
3.25,4.65,2.16,-0.75,0.82,3.29
3.83,4.12,2.46,-0.84,0.74,3.42
4.74,3.49,2.82,-0.90,0.69,3.53
5.77,2.89,3.21,-0.91,0.67,3.57
6.68,2.45,3.53,-0.89,0.69,3.55
7.41,2.09,3.89,-0.85,0.70,3.48
7.98,1.76,4.15,-0.81,0.69,3.39
8.51,1.42,4.42,-0.77,0.67,3.28
9.09,1.06,4.66,-0.72,0.63,3.17
9.78,0.73,4.79,-0.68,0.59,3.04
10.49,0.45,4.88,-0.63,0.58,2.88
11.08,0.23,5.00,-0.55,0.59,2.67
11.47,0.16,5.06,-0.48,0.60,2.43
11.71,0.08,5.14,-0.41,0.59,2.20
11.94,0.06,5.26,-0.37,0.56,1.97
12.21,0.07,5.34,-0.31,0.52,1.74
12.43,0.11,5.43,-0.24,0.48,1.50
12.67,0.17,5.51,-0.18,0.42,1.26
13.02,0.19,5.58,-0.13,0.36,1.03
13.39,0.23,5.67,-0.06,0.33,0.78
13.60,0.40,5.64,0.02,0.30,0.52
13.62,0.54,5.52,0.09,0.27,0.25
13.50,0.74,5.37,0.16,0.23,0.00
13.32,0.96,5.27,0.21,0.18,-0.23
13.05,1.19,5.15,0.26,0.14,-0.44
12.70,1.39,5.03,0.29,0.08,-0.63
12.29,1.56,4.90,0.32,0.01,-0.81
11.85,1.70,4.72,0.33,-0.07,-0.97
11.47,1.77,4.65,0.32,-0.14,-1.11
11.14,1.77,4.67,0.33,-0.18,-1.24
10.86,1.75,4.70,0.35,-0.21,-1.37
10.64,1.70,4.72,0.38,-0.24,-1.49
10.34,1.71,4.75,0.41,-0.29,-1.62
10.04,1.73,4.80,0.44,-0.35,-1.74
