MPU_Index,aX,aY,aZ,gX,gY,gZ
0,-10.40,-1.19,-2.84,-0.56,2.39,-4.37
1,-0.23,1.11,-9.08,-4.37,-2.50,-0.60
0,-11.46,0.70,-2.05,-0.55,2.71,-4.37
1,0.79,0.02,-9.87,-4.37,-2.88,-0.38
0,-12.57,3.22,-0.63,-0.07,2.93,-4.37
1,-0.47,-0.54,-12.21,-4.37,-2.61,0.26
0,-13.06,3.40,0.21,0.51,2.12,-4.37
1,-0.59,0.25,-11.80,-4.11,-1.50,0.84
0,-10.67,1.40,0.04,1.18,0.95,-3.53
1,-1.42,1.45,-9.40,-3.23,-0.42,1.43
0,-8.13,-1.20,-2.40,1.60,0.25,-2.90
1,-1.56,2.94,-7.56,-2.80,-0.11,1.70
0,-7.83,-3.47,-3.38,1.80,0.20,-2.62
1,-1.98,5.02,-9.81,-2.64,-0.08,1.85
0,-11.86,-5.61,-4.45,1.93,0.10,-2.50
1,-4.07,7.58,-15.59,-2.48,-0.00,1.87
0,-18.69,-8.63,-7.97,1.74,0.14,-2.25
1,-7.42,11.54,-19.61,-1.95,-0.28,1.53
0,-19.61,-9.96,-12.24,1.27,0.61,-1.22
1,-10.60,14.59,-19.61,-0.47,-0.63,1.00
0,-19.61,-11.52,-12.14,0.73,0.52,0.45
1,-11.74,15.76,-19.61,1.27,-0.13,0.59
0,-19.61,-12.39,-12.99,0.39,0.00,2.10
1,-11.50,15.01,-19.61,2.61,0.13,0.22
0,-19.61,-13.20,-13.88,-0.11,0.05,2.97
1,-11.05,12.61,-17.99,3.05,-0.17,-0.41
0,-15.96,-11.43,-13.86,-0.89,0.51,3.12
1,-9.88,9.82,-14.50,3.07,-0.63,-1.19
0,-13.15,-8.90,-10.78,-1.59,0.74,3.12
1,-7.22,7.98,-11.98,3.18,-0.63,-1.75
0,-10.51,-6.30,-7.22,-1.99,0.63,3.33
1,-3.63,5.64,-9.40,3.45,-0.46,-1.94
0,-8.90,-4.07,-2.60,-1.90,0.30,3.61
1,-0.98,3.97,-8.63,3.78,0.08,-1.59
0,-8.38,-2.25,-0.78,-1.39,-0.30,4.04
1,0.36,2.82,-7.62,4.24,0.60,-1.06
0,-7.33,-1.39,-0.43,-0.90,-0.59,4.37
1,1.48,1.99,-6.46,4.37,0.65,-0.66
0,-6.44,-0.53,-0.37,-0.66,-0.47,4.37
1,1.30,0.34,-5.48,4.37,0.52,-0.60
0,-6.17,0.67,-0.17,-0.74,-0.48,4.37
1,0.40,-0.59,-5.45,4.37,0.80,-0.75
0,-6.23,1.64,-0.38,-0.94,-1.02,4.37
1,-0.41,-1.46,-5.61,4.37,1.35,-0.95
0,-6.24,2.13,-0.97,-1.08,-1.51,4.37
1,-0.34,-1.42,-4.67,4.37,1.83,-0.96
0,-5.27,2.30,-1.35,-0.93,-1.86,4.37
1,0.61,-1.99,-3.21,4.37,1.97,-0.71
0,-4.01,2.88,-1.30,-0.62,-1.77,4.37
1,0.69,-3.16,-2.12,4.37,1.72,-0.34
0,-2.88,3.31,-2.20,-0.25,-1.43,4.37
1,-0.40,-3.75,-1.14,4.37,1.38,-0.03
0,-2.09,3.14,-3.16,-0.00,-1.11,4.37
1,-1.53,-3.46,-0.63,4.37,1.10,0.14
0,-1.46,3.09,-3.94,0.10,-0.88,4.37
1,-1.99,-2.97,0.09,4.37,0.89,0.18
0,-0.52,3.06,-3.64,0.11,-0.66,4.37
1,-1.32,-2.57,1.44,4.37,0.71,0.21
0,0.93,3.12,-2.58,0.16,-0.59,4.37
1,-0.97,-2.50,3.30,4.37,0.76,0.28
0,3.29,2.74,-1.22,0.29,-0.77,4.37
1,0.05,-2.51,6.10,4.37,1.03,0.49
0,5.73,2.92,0.16,0.58,-1.04,4.37
1,1.49,-2.45,8.71,4.37,1.27,0.84
0,8.58,3.15,1.30,0.97,-1.17,4.37
1,2.53,-3.22,13.29,4.37,1.27,1.20
0,15.35,3.11,1.00,1.24,-1.02,4.37
1,2.33,-6.77,19.61,4.37,0.94,1.37
0,19.61,4.81,-0.77,1.34,-0.56,4.37
1,0.50,-11.15,19.61,3.92,0.43,1.35
0,19.61,7.64,-2.71,1.24,-0.16,2.81
1,-2.79,-13.59,19.61,1.61,0.27,1.17
0,19.61,9.90,-5.66,0.97,-0.21,0.76
1,-6.49,-12.96,19.61,0.17,0.35,0.79
0,19.61,11.03,-8.70,0.41,-0.47,-0.25
1,-8.24,-12.95,19.61,-0.68,0.58,0.17
0,18.55,11.52,-10.31,-0.07,-0.44,-0.93
1,-7.79,-12.78,17.57,-1.33,0.44,-0.18
0,16.69,10.71,-8.85,-0.22,-0.24,-1.65
1,-5.70,-11.71,16.35,-2.07,0.10,-0.12
0,15.39,9.23,-7.07,-0.03,0.23,-2.32
1,-3.15,-9.48,15.33,-2.70,-0.32,0.13
0,14.07,8.26,-4.34,0.23,0.54,-2.84
1,-1.57,-8.47,13.93,-3.05,-0.54,0.32
0,13.13,7.26,-1.97,0.33,0.51,-3.17
1,-0.99,-7.75,12.89,-3.46,-0.24,0.27
0,11.65,6.58,-0.68,0.17,0.05,-3.57
1,-0.26,-6.51,11.06,-3.71,0.29,0.09
0,9.96,6.15,-0.04,-0.01,-0.55,-3.68
1,-0.39,-5.97,9.86,-3.80,0.96,-0.13
0,8.78,5.62,-0.65,-0.27,-1.17,-3.80
1,-0.79,-5.69,8.71,-3.92,1.41,-0.41
0,-7.85,-0.97,-5.36,-0.36,1.91,-4.37
1,-1.62,1.78,-7.43,-4.37,-2.14,-0.45
0,-10.99,0.76,-1.86,-0.42,2.19,-4.37
1,0.43,2.43,-11.74,-4.37,-1.93,-0.22
0,-15.63,3.03,2.72,0.07,1.48,-4.37
1,1.72,2.30,-18.25,-3.39,-0.65,0.46
0,-19.61,5.08,5.62,0.88,-0.36,-1.85
1,1.01,1.61,-19.61,-0.41,1.64,1.37
0,-19.61,3.24,3.26,1.85,-2.64,0.84
1,-1.74,1.71,-19.61,1.42,3.69,2.32
0,-19.61,-4.32,-1.19,2.59,-4.37,1.47
1,-4.39,2.76,-19.61,1.06,4.37,2.50
0,-19.61,-4.34,-9.47,2.18,-4.37,0.81
1,-5.37,2.80,-19.61,0.45,3.91,1.77
0,-19.61,-5.77,-12.23,1.45,-2.81,0.18
1,-5.50,4.22,-19.61,-0.27,1.81,1.13
0,-19.61,-6.02,-13.53,0.75,-0.49,-0.55
1,-5.87,4.53,-19.61,-0.74,-0.51,0.41
0,-19.61,-3.59,-10.94,-0.00,1.34,-0.57
1,-6.04,3.70,-19.61,-0.32,-1.61,-0.33
0,-19.61,-1.72,-6.82,-0.68,1.63,0.11
1,-5.49,3.16,-19.61,0.55,-1.24,-0.83
0,-19.61,-0.73,-4.46,-0.99,0.88,1.12
1,-3.57,2.74,-19.09,1.66,-0.37,-0.90
0,-17.20,-0.06,-2.21,-0.84,0.01,2.28
1,-1.43,2.28,-15.68,2.78,0.43,-0.61
0,-13.75,0.04,-1.60,-0.47,-0.55,3.26
1,-0.18,1.30,-11.99,3.56,0.69,-0.20
0,-10.73,0.23,-2.11,-0.07,-0.47,3.87
1,0.82,0.28,-9.01,4.04,0.34,0.12
0,-8.48,1.05,-1.80,0.10,0.04,4.27
1,1.63,-0.81,-6.89,4.37,-0.26,0.17
0,-7.10,2.03,-0.93,0.09,0.67,4.37
1,1.70,-1.59,-6.25,4.37,-0.77,0.13
0,-6.49,2.38,-0.13,-0.00,0.87,4.37
1,0.50,-2.27,-5.34,4.37,-0.63,0.00
0,-5.56,2.52,-0.46,-0.13,0.55,4.37
1,0.22,-2.46,-4.37,4.37,-0.26,-0.09
0,-4.61,2.66,-0.20,-0.18,0.17,4.37
1,0.62,-2.72,-3.62,4.37,0.13,-0.09
0,-4.04,3.40,0.09,-0.12,-0.22,4.37
1,0.63,-3.66,-3.04,4.37,0.42,-0.00
0,-3.39,4.21,-0.12,0.02,-0.40,4.37
1,0.89,-3.96,-2.18,4.37,0.62,0.25
0,-2.72,4.25,-0.68,0.35,-0.54,4.37
1,0.23,-4.27,-1.31,4.37,0.61,0.56
0,-1.64,4.17,-2.21,0.59,-0.39,4.37
1,-0.98,-4.14,-0.25,4.37,0.40,0.70
0,-1.02,3.80,-3.11,0.62,-0.22,4.37
1,-1.92,-3.51,0.53,4.37,0.24,0.60
0,0.26,3.08,-4.83,0.41,0.04,4.37
1,-2.45,-2.93,2.11,4.37,-0.15,0.34
0,2.12,2.23,-4.98,0.13,0.51,4.37
1,-2.06,-2.54,4.03,4.37,-0.62,0.06
0,3.91,1.83,-4.14,-0.15,0.91,4.37
1,-1.21,-2.03,6.07,4.37,-1.02,-0.21
0,7.01,1.98,-2.56,-0.39,1.28,4.37
1,0.35,-2.03,9.67,4.37,-1.26,-0.31
0,10.65,2.04,0.09,-0.32,1.32,4.37
1,1.41,-1.82,13.28,4.37,-1.16,-0.12
0,14.25,2.93,0.69,-0.15,1.19,4.37
1,1.53,-1.66,17.93,4.37,-1.17,-0.34
0,19.61,3.33,-0.20,-0.88,1.24,4.37
1,0.45,-5.50,19.61,4.37,-1.08,-1.26
0,19.61,3.31,-0.81,-1.85,0.96,4.37
1,-0.77,-10.41,19.61,3.31,-0.66,-2.16
0,19.61,6.80,-1.39,-2.40,0.48,2.12
1,-1.57,-12.68,19.61,1.06,-0.17,-2.17
0,19.61,9.72,-2.12,-1.84,0.01,0.24
1,-2.00,-12.92,19.61,-0.51,0.16,-1.26
0,19.61,10.07,-3.88,-0.80,-0.04,-1.11
1,-2.31,-12.24,19.61,-1.68,-0.10,-0.35
0,19.61,10.15,-5.37,-0.10,0.47,-2.11
1,-2.21,-11.59,18.94,-2.55,-0.76,0.05
0,17.51,9.58,-4.41,0.08,1.10,-2.86
1,-1.51,-10.43,17.36,-3.34,-1.18,0.14
0,15.92,7.67,-2.32,0.23,1.32,-3.73
1,0.41,-8.72,15.77,-4.25,-1.28,0.48
0,14.11,6.08,0.11,0.84,1.33,-4.37
1,1.98,-7.08,14.05,-4.37,-1.23,1.25
0,11.79,5.45,1.02,1.62,1.19,-4.37
1,1.64,-5.73,11.89,-4.37,-0.95,1.79
0,9.48,4.95,0.82,1.82,0.77,-4.37
1,0.64,-4.45,9.33,-4.37,-0.37,1.64
0,7.14,4.59,0.14,1.38,0.12,-4.37
1,0.14,-3.69,7.24,-4.37,0.25,1.03
0,5.51,4.47,-0.52,0.71,-0.43,-4.37
1,0.26,-3.72,5.83,-4.37,0.65,0.42
0,4.72,4.35,-0.64,0.22,-0.64,-4.37
1,1.10,-4.00,4.87,-4.37,0.70,0.11
0,3.31,4.40,-0.41,0.09,-0.60,-4.37
1,0.89,-3.90,3.45,-4.37,0.58,0.12
0,2.22,4.04,-1.39,0.17,-0.41,-4.37
1,0.34,-3.84,2.24,-4.37,0.36,0.23
0,1.13,3.79,-1.46,0.31,-0.24,-4.37
1,0.13,-3.91,1.20,-4.37,0.25,0.38
0,-0.06,3.60,-1.99,0.44,-0.13,-4.37
1,-0.47,-3.42,-0.04,-4.37,0.16,0.47
0,-0.85,2.49,-2.05,0.53,-0.09,-4.37
1,-0.42,-2.53,-0.53,-4.37,0.16,0.57
0,-1.63,1.14,-2.17,0.59,-0.09,-4.37
1,-0.46,-1.37,-1.86,-4.37,0.18,0.55
0,-3.62,-0.95,-1.38,0.46,-0.25,-4.37
1,-1.12,0.76,-4.11,-4.37,0.41,0.27
0,-6.24,-2.32,-3.27,-0.06,-0.43,-4.37
1,-2.21,1.58,-6.74,-4.37,0.36,-0.55
0,-9.04,-1.63,-5.01,-1.13,-0.05,-4.37
1,-1.31,0.80,-10.19,-4.37,-0.45,-1.71
0,-14.39,0.81,-5.62,-2.26,1.18,-4.37
1,-0.53,0.19,-16.74,-4.37,-1.81,-2.48
0,-19.61,1.85,-2.46,-2.51,2.17,-4.37
1,0.30,-0.33,-19.61,-4.37,-2.23,-2.17
0,-19.61,2.87,0.55,-1.68,2.08,-3.88
1,1.30,0.15,-19.61,-3.26,-1.70,-0.93
0,-19.61,3.02,2.62,-0.16,1.24,-2.47
1,0.36,0.84,-19.61,-1.69,-0.50,0.52
0,-19.61,2.46,1.55,0.95,-0.23,-0.72
1,-1.51,2.46,-19.61,0.07,1.02,1.32
0,-19.61,-0.02,-1.92,1.64,-1.44,0.89
1,-3.86,3.71,-19.61,1.45,1.82,1.92
0,-19.61,-1.65,-7.67,2.03,-1.67,2.09
1,-6.50,4.12,-19.61,2.48,1.55,2.02
0,-19.61,-2.96,-11.09,1.80,-1.06,2.79
1,-7.44,1.56,-19.61,2.57,0.66,1.42
0,-19.61,-1.93,-10.70,0.88,-0.16,2.66
1,-6.00,1.90,-19.61,2.77,0.06,0.52
0,-16.79,-0.83,-8.51,0.10,0.35,2.80
1,-3.96,-0.60,-15.04,2.70,-0.58,-0.28
0,-13.16,0.91,-5.08,-0.67,0.88,2.78
1,-1.25,-0.93,-11.70,2.83,-0.87,-0.70
0,-10.10,1.72,-1.41,-0.70,0.92,2.94
1,0.75,-1.77,-9.53,3.00,-0.69,-0.43
0,-9.22,3.00,0.80,-0.25,0.56,3.20
1,1.30,-2.53,-8.93,3.36,-0.23,0.05
0,-8.43,3.43,1.11,0.21,0.07,3.61
1,1.30,-2.53,-7.64,3.76,0.18,0.47
0,-7.40,3.40,0.02,0.56,-0.15,4.02
1,0.92,-2.63,-6.09,4.18,0.27,0.70
0,-5.76,3.55,-0.66,0.66,-0.15,4.37
1,0.75,-3.20,-4.33,4.37,0.23,0.69
0,-4.23,3.95,-0.87,0.58,-0.11,4.37
1,0.32,-3.56,-3.09,4.37,0.22,0.56
0,-3.18,4.17,-1.46,0.40,-0.13,4.37
1,-0.28,-3.86,-2.00,4.37,0.24,0.38
0,-2.37,4.35,-1.82,0.25,-0.14,4.37
1,-0.60,-4.32,-1.09,4.37,0.25,0.26
0,-1.53,4.38,-2.82,0.15,-0.12,4.37
1,-1.49,-4.62,-0.20,4.37,0.10,0.18
0,-0.53,4.07,-4.27,0.07,0.17,4.37
1,-2.23,-4.59,0.42,4.37,-0.30,0.12
0,-0.11,3.51,-5.14,0.01,0.61,4.37
1,-3.02,-3.88,0.60,4.37,-0.65,0.06
0,0.43,3.14,-5.27,-0.03,0.84,4.37
1,-3.08,-3.40,1.53,4.23,-0.86,0.01
0,1.51,2.71,-4.85,-0.09,1.06,4.18
1,-2.47,-2.75,2.38,4.06,-1.06,-0.06
0,2.49,2.26,-4.33,-0.24,1.21,4.03
1,-1.90,-2.23,3.70,3.97,-1.28,-0.35
0,4.75,1.88,-4.07,-0.64,1.60,3.99
1,-0.18,-1.99,7.09,3.93,-1.82,-0.73
0,8.37,1.87,-2.26,-0.96,2.21,3.89
1,2.50,-3.06,11.81,3.71,-2.57,-0.99
0,14.03,2.84,0.72,-1.16,3.11,3.45
1,5.66,-5.43,16.98,3.08,-3.52,-1.15
0,18.06,5.33,3.72,-1.36,3.93,2.71
1,6.63,-8.78,19.61,2.27,-4.06,-1.31
0,19.61,8.62,5.84,-1.40,4.07,1.91
1,5.87,-11.44,19.61,1.56,-3.77,-1.29
0,19.61,11.32,6.34,-1.28,3.39,1.34
1,4.52,-13.21,19.61,1.10,-2.82,-1.06
0,19.61,12.78,6.33,-0.88,2.23,0.93
1,3.38,-13.90,19.61,0.67,-1.42,-0.42
0,19.18,13.58,5.37,0.01,0.72,0.52
1,2.22,-14.96,19.05,0.23,0.06,0.51
0,18.93,13.36,3.22,0.86,-0.48,-0.10
1,2.43,-15.58,19.02,-0.76,0.88,1.09
0,18.38,11.83,1.85,1.23,-0.85,-1.36
1,3.73,-13.53,17.94,-2.06,0.88,1.33
0,16.91,10.51,2.16,1.46,-0.68,-2.49
1,4.30,-11.86,16.84,-2.97,0.67,1.59
0,15.94,9.71,3.28,1.72,-0.59,-3.28
1,4.43,-10.91,15.93,-3.73,0.75,1.78
0,14.49,9.04,3.77,1.83,-0.82,-3.96
1,3.93,-9.46,14.25,-4.27,1.13,1.74
0,12.23,8.16,3.16,1.58,-1.32,-4.33
1,2.75,-7.83,11.76,-4.37,1.67,1.31
0,9.95,7.28,1.80,1.06,-1.81,-4.36
1,2.34,-6.50,9.86,-4.37,2.03,0.83
0,7.85,6.18,1.44,0.71,-2.09,-4.27
1,2.10,-5.45,7.81,-4.30,2.28,0.65
0,5.92,5.06,0.62,0.66,-2.26,-4.21
1,1.68,-4.48,5.80,-4.28,2.35,0.68
0,3.78,3.86,-0.15,0.74,-2.28,-4.21
1,0.68,-3.36,3.31,-4.26,2.40,0.74
0,1.45,3.47,-1.22,0.73,-2.38,-4.11
1,-0.28,-2.79,1.14,-4.05,2.55,0.67
0,-0.20,3.12,-1.44,0.62,-2.57,-3.87
1,-0.47,-2.49,-0.13,-3.84,2.76,0.54
0,-1.18,2.71,-1.53,0.49,-2.77,-3.68
1,-0.32,-2.25,-0.85,-3.68,2.93,0.41
0,-19.61,-4.34,-2.73,0.13,-0.33,0.91
1,-1.54,5.71,-19.61,1.30,0.50,-0.18
0,-19.10,-3.56,-3.05,-0.59,-0.43,1.65
1,-0.45,3.91,-18.07,1.86,0.43,-0.86
0,-16.23,-2.37,-2.02,-1.16,-0.12,2.07
1,2.57,2.20,-15.36,2.17,-0.18,-1.20
0,-14.15,-0.96,0.01,-1.25,0.67,2.28
1,3.81,0.10,-13.51,2.26,-1.00,-1.07
0,-12.77,0.58,0.51,-0.97,1.43,2.29
1,3.57,-0.95,-12.41,2.28,-1.71,-0.72
0,-11.95,1.16,0.62,-0.61,2.04,2.37
1,3.01,-0.87,-11.54,2.46,-2.14,-0.40
0,-11.14,1.92,1.03,-0.37,2.28,2.72
1,2.36,-0.89,-10.45,2.94,-2.19,-0.27
0,-10.07,2.21,1.08,-0.38,2.18,3.25
1,2.01,-1.31,-9.61,3.46,-1.96,-0.37
0,-9.82,2.44,1.36,-0.50,1.84,3.71
1,1.43,-1.74,-9.32,3.87,-1.55,-0.48
0,-9.40,2.52,1.20,-0.58,1.41,4.05
1,1.93,-2.46,-8.74,4.09,-1.19,-0.50
0,-8.77,3.15,0.65,-0.56,1.24,4.20
1,2.62,-3.21,-7.66,4.23,-1.21,-0.47
0,-7.40,3.47,0.64,-0.55,1.38,4.31
1,2.38,-3.43,-6.01,4.31,-1.38,-0.49
0,-5.74,3.37,0.42,-0.56,1.53,4.36
1,2.37,-3.17,-4.30,4.36,-1.50,-0.47
0,-4.27,3.37,0.80,-0.55,1.61,4.37
1,2.00,-3.41,-2.89,4.37,-1.50,-0.46
0,-2.92,3.52,0.79,-0.53,1.47,4.37
1,1.15,-3.66,-1.82,4.37,-1.22,-0.40
0,-1.87,3.62,0.21,-0.42,1.10,4.37
1,0.39,-4.02,-0.92,4.37,-0.82,-0.31
0,-1.01,4.14,-0.72,-0.39,0.77,4.37
1,0.69,-4.21,0.11,4.37,-0.63,-0.34
0,-0.26,4.80,-0.62,-0.45,0.70,4.37
1,0.99,-4.28,0.73,4.37,-0.58,-0.37
0,0.65,5.03,-0.02,-0.44,0.59,4.37
1,1.11,-4.67,2.48,4.37,-0.40,-0.34
0,2.91,4.98,0.40,-0.40,0.37,4.37
1,1.62,-5.13,5.32,4.37,-0.17,-0.29
0,5.97,5.20,0.74,-0.34,0.25,4.37
1,2.48,-6.02,7.99,4.37,-0.20,-0.23
0,8.40,5.89,0.69,-0.29,0.42,4.37
1,3.11,-7.02,10.75,4.37,-0.54,-0.21
0,11.78,6.72,0.67,-0.29,0.92,4.27
1,3.77,-8.85,14.44,3.92,-1.19,-0.23
0,16.01,7.91,0.65,-0.33,1.68,3.46
1,3.68,-11.92,18.92,2.73,-1.99,-0.25
0,19.61,9.42,0.35,-0.31,2.41,1.93
1,2.58,-14.38,19.61,0.97,-2.59,-0.24
0,19.61,10.97,0.43,-0.26,2.74,0.11
1,1.04,-14.84,19.61,-0.73,-2.63,-0.18
0,19.61,12.14,0.07,-0.20,2.50,-1.32
1,-0.24,-14.02,19.11,-1.78,-2.18,-0.13
0,16.91,12.94,-0.08,-0.13,1.89,-1.98
1,-0.62,-13.21,15.68,-2.12,-1.46,-0.04
0,13.82,12.95,0.56,0.05,1.09,-2.09
1,0.30,-12.59,12.99,-2.19,-0.57,0.23
0,11.74,12.24,1.39,0.38,0.20,-2.18
1,1.12,-12.40,11.43,-2.33,0.24,0.50
0,10.70,11.38,1.85,0.56,-0.51,-2.44
1,2.25,-11.98,10.68,-2.75,0.86,0.62
0,9.58,10.35,2.53,0.68,-0.99,-2.93
1,3.25,-10.79,9.12,-3.20,1.25,0.74
0,7.70,9.47,2.73,0.80,-1.34,-3.28
1,3.26,-9.31,7.29,-3.43,1.61,0.82
0,5.85,8.49,2.34,0.82,-1.67,-3.39
1,2.83,-7.87,5.63,-3.44,1.92,0.79
0,4.31,7.32,1.76,0.77,-1.99,-3.33
1,2.10,-6.55,4.28,-3.33,2.19,0.70
0,2.96,6.35,0.79,0.61,-2.20,-3.18
1,1.73,-5.74,2.91,-3.16,2.33,0.49
0,1.66,5.66,0.11,0.36,-2.26,-3.04
1,1.36,-5.32,1.49,-3.06,2.33,0.22
0,0.17,5.14,-0.47,0.08,-2.23,-2.95
1,1.03,-4.77,-0.06,-3.00,2.26,-0.04
0,-0.83,4.39,-0.85,-0.16,-2.11,-2.95
1,0.96,-4.53,-0.96,-3.08,2.09,-0.25
0,-1.68,4.01,-0.75,-0.35,-1.91,-3.11
1,1.25,-4.41,-1.64,-3.28,1.86,-0.41
0,-2.22,3.77,-0.36,-0.47,-1.69,-3.34
1,1.63,-4.46,-1.90,-3.55,1.68,-0.48
0,-2.55,3.58,0.48,-0.43,-1.58,-3.61
